tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2021-08-10,DKI1 (Bunderan HI),50.0,32.0,25.0,7.0,29.0,16.0,50.0,PM25,BAIK
2021-08-11,DKI1 (Bunderan HI),73.0,55.0,25.0,10.0,24.0,25.0,73.0,PM25,SEDANG
2021-08-12,DKI1 (Bunderan HI),70.0,55.0,28.0,8.0,20.0,19.0,70.0,PM25,SEDANG
2021-08-13,DKI1 (Bunderan HI),75.0,56.0,28.0,10.0,17.0,28.0,75.0,PM25,SEDANG
2021-08-14,DKI1 (Bunderan HI),92.0,65.0,30.0,15.0,24.0,36.0,92.0,PM25,SEDANG
2021-08-15,DKI1 (Bunderan HI),72.0,56.0,31.0,8.0,17.0,20.0,72.0,PM25,SEDANG
2021-08-16,DKI1 (Bunderan HI),70.0,53.0,30.0,8.0,17.0,19.0,70.0,PM25,SEDANG
2021-08-17,DKI1 (Bunderan HI),77.0,56.0,28.0,13.0,26.0,22.0,77.0,PM25,SEDANG
2021-08-18,DKI1 (Bunderan HI),78.0,59.0,25.0,11.0,27.0,26.0,78.0,PM25,SEDANG
2021-08-19,DKI1 (Bunderan HI),89.0,60.0,31.0,15.0,24.0,35.0,89.0,PM25,SEDANG
2021-08-20,DKI1 (Bunderan HI),84.0,58.0,29.0,11.0,32.0,34.0,84.0,PM25,SEDANG
2021-08-21,DKI1 (Bunderan HI),80.0,59.0,25.0,13.0,26.0,35.0,80.0,PM25,SEDANG
2021-08-22,DKI1 (Bunderan HI),81.0,59.0,28.0,14.0,25.0,28.0,81.0,PM25,SEDANG
2021-08-23,DKI1 (Bunderan HI),77.0,56.0,28.0,10.0,25.0,27.0,77.0,PM25,SEDANG
2021-08-24,DKI1 (Bunderan HI),87.0,59.0,27.0,12.0,32.0,30.0,87.0,PM25,SEDANG
2021-08-25,DKI1 (Bunderan HI),89.0,62.0,26.0,12.0,34.0,34.0,89.0,PM25,SEDANG
2021-08-26,DKI1 (Bunderan HI),77.0,56.0,27.0,10.0,22.0,33.0,77.0,PM25,SEDANG
2021-08-27,DKI1 (Bunderan HI),89.0,62.0,30.0,11.0,25.0,31.0,89.0,PM25,SEDANG
2021-08-28,DKI1 (Bunderan HI),93.0,65.0,26.0,11.0,40.0,27.0,93.0,PM25,SEDANG
2021-08-29,DKI1 (Bunderan HI),96.0,65.0,28.0,12.0,30.0,29.0,96.0,PM25,SEDANG
2021-08-30,DKI1 (Bunderan HI),112.0,79.0,27.0,17.0,39.0,41.0,112.0,PM25,TIDAK SEHAT
2021-08-31,DKI1 (Bunderan HI),86.0,64.0,27.0,12.0,35.0,33.0,86.0,PM25,SEDANG
2021-09-01,DKI1 (Bunderan HI),88.0,63.0,29.0,15.0,24.0,38.0,88.0,PM25,SEDANG
2021-09-02,DKI1 (Bunderan HI),83.0,60.0,29.0,11.0,30.0,28.0,83.0,PM25,SEDANG
2021-09-03,DKI1 (Bunderan HI),82.0,60.0,27.0,11.0,37.0,30.0,82.0,PM25,SEDANG
2021-09-04,DKI1 (Bunderan HI),77.0,58.0,26.0,10.0,31.0,28.0,77.0,PM25,SEDANG
2021-09-05,DKI1 (Bunderan HI),85.0,63.0,27.0,11.0,28.0,28.0,85.0,PM25,SEDANG
2021-09-06,DKI1 (Bunderan HI),92.0,68.0,31.0,11.0,26.0,24.0,92.0,PM25,SEDANG
2021-09-07,DKI1 (Bunderan HI),65.0,52.0,28.0,9.0,19.0,24.0,65.0,PM25,SEDANG
2021-09-08,DKI1 (Bunderan HI),76.0,53.0,25.0,16.0,23.0,34.0,76.0,PM25,SEDANG
2021-09-09,DKI1 (Bunderan HI),62.0,45.0,25.0,12.0,27.0,31.0,62.0,PM25,SEDANG
2021-09-10,DKI1 (Bunderan HI),66.0,51.0,27.0,10.0,25.0,32.0,66.0,PM25,SEDANG
2021-09-11,DKI1 (Bunderan HI),93.0,66.0,32.0,12.0,34.0,41.0,93.0,PM25,SEDANG
2021-09-12,DKI1 (Bunderan HI),80.0,61.0,26.0,10.0,28.0,27.0,80.0,PM25,SEDANG
2021-09-13,DKI1 (Bunderan HI),64.0,51.0,29.0,8.0,23.0,21.0,64.0,PM25,SEDANG
2021-09-14,DKI1 (Bunderan HI),42.0,31.0,24.0,8.0,20.0,19.0,42.0,PM25,BAIK
2021-09-15,DKI1 (Bunderan HI),81.0,54.0,29.0,20.0,20.0,45.0,81.0,PM25,SEDANG
2021-09-16,DKI1 (Bunderan HI),65.0,48.0,29.0,9.0,23.0,24.0,65.0,PM25,SEDANG
2021-09-17,DKI1 (Bunderan HI),66.0,42.0,29.0,7.0,26.0,20.0,66.0,PM25,SEDANG
2021-09-18,DKI1 (Bunderan HI),73.0,50.0,29.0,8.0,23.0,22.0,73.0,PM25,SEDANG
2021-09-19,DKI1 (Bunderan HI),78.0,53.0,26.0,8.0,33.0,19.0,78.0,PM25,SEDANG
2021-09-20,DKI1 (Bunderan HI),69.0,51.0,27.0,10.0,25.0,34.0,69.0,PM25,SEDANG
2021-09-21,DKI1 (Bunderan HI),81.0,55.0,28.0,11.0,29.0,36.0,81.0,PM25,SEDANG
2021-09-22,DKI1 (Bunderan HI),80.0,57.0,29.0,11.0,24.0,32.0,80.0,PM25,SEDANG
2021-09-23,DKI1 (Bunderan HI),80.0,54.0,29.0,8.0,27.0,22.0,80.0,PM25,SEDANG
2021-09-24,DKI1 (Bunderan HI),74.0,57.0,34.0,8.0,20.0,26.0,74.0,PM25,SEDANG
2021-09-25,DKI1 (Bunderan HI),67.0,49.0,31.0,7.0,24.0,20.0,67.0,PM25,SEDANG
2021-09-26,DKI1 (Bunderan HI),72.0,52.0,28.0,6.0,28.0,19.0,72.0,PM25,SEDANG
